tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1989-339,Adelaide,Hard,,A,19890102,1,101334,,,Alexander Volkov,L,188,RUS,21.84,101230,1,,Andrei Chesnokov,R,188,RUS,22.92,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,79,,14,
1989-339,Adelaide,Hard,,A,19890102,2,101249,,,Andrei Olhovskiy,R,185,RUS,22.72,101534,,Q,Libor Nemecek,R,168,CZE,20.19,1-6 6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,86,,341,
1989-339,Adelaide,Hard,,A,19890102,3,101948,,,Pete Sampras,R,185,USA,17.39,100837,,,Jeremy Bates,R,180,GBR,26.54,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,97,,152,
1989-339,Adelaide,Hard,,A,19890102,4,101727,8,,Jason Stoltenberg,R,185,AUS,18.75,100551,,,Brad Drewett,L,185,AUS,30.46,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,70,,99,
1989-339,Adelaide,Hard,,A,19890102,5,101185,4,,Mark Woodforde,L,188,AUS,23.28,101703,,Q,Guillaume Raoux,R,180,FRA,18.88,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,42,,448,
1989-339,Adelaide,Hard,,A,19890102,6,101772,,WC,Andrei Cherkasov,R,180,RUS,18.50,101123,,Q,Alexander Mronz,R,188,GER,23.74,6-3 7-6,3,R32,,,,,,,,,,,,,,,,,,,,236,,278,
1989-339,Adelaide,Hard,,A,19890102,7,101971,,,Johan Anderson,R,183,AUS,17.26,100714,,,Broderick Dyke,L,183,AUS,28.01,5-7 6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,208,,113,
1989-339,Adelaide,Hard,,A,19890102,8,101964,,LL,Goran Ivanisevic,L,193,CRO,17.31,101158,6,,John Frawley,R,173,AUS,23.50,7-5 6-7 6-4,3,R32,,,,,,,,,,,,,,,,,,,,371,,60,
1989-339,Adelaide,Hard,,A,19890102,9,100923,5,,Wally Masur,R,180,AUS,25.64,100747,,,Glenn Layendecker,L,185,USA,27.65,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,,46,,78,
1989-339,Adelaide,Hard,,A,19890102,10,101889,,WC,Todd Woodbridge,R,178,AUS,17.75,101057,,LL,Peter Carter,R,180,AUS,24.40,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,213,,291,
1989-339,Adelaide,Hard,,A,19890102,11,101580,,WC,Roger Rasheed,R,183,AUS,19.82,101659,,Q,Jan Apell,L,183,SWE,19.16,6-3 1-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,,342,,214,
1989-339,Adelaide,Hard,,A,19890102,12,101421,,,Veli Paloheimo,R,183,FIN,21.06,100946,3,,Slobodan Zivojinovic,R,198,YUG,25.45,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,117,,31,
1989-339,Adelaide,Hard,,A,19890102,13,101234,7,,Patrik Kuhnen,R,190,GER,22.89,101358,,,Olivier Delaitre,R,170,FRA,21.59,2-6 7-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,,61,,129,
1989-339,Adelaide,Hard,,A,19890102,14,101440,,,Mark Koevermans,R,185,NED,20.91,101154,,,Simon Youl,R,185,AUS,23.51,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,139,,109,
1989-339,Adelaide,Hard,,A,19890102,15,101308,,,Neil Broad,R,190,GBR,22.12,101071,,,Tom Nijssen,R,175,NED,24.25,7-5 3-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,,131,,114,
1989-339,Adelaide,Hard,,A,19890102,16,101256,,,Mark Kratzmann,L,178,AUS,22.63,101190,2,,Darren Cahill,R,185,AUS,23.25,7-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,,150,,27,
