tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2001-301,Auckland,Hard,32,A,20010108,1,102905,,,Stefan Koubek,L,175,AUT,24.0164271047,102644,1,,Franco Squillari,L,183,ARG,25.3826146475,7-6(4) 6-2,3,R32,84,5,2,93,58,38,17,10,14,16,5,5,66,31,19,15,10,4,8,52,755,14,1598
2001-301,Auckland,Hard,32,A,20010108,2,102231,,,Alex Calatrava,R,190,ESP,27.5701574264,102860,,,Agustin Calleri,R,183,ARG,24.3175906913,6-3 1-6 6-3,3,R32,78,6,2,74,47,36,14,13,0,2,14,3,63,37,33,11,12,1,3,53,751,64,633
2001-301,Auckland,Hard,32,A,20010108,3,102257,,WC,Greg Rusedski,L,193,GBR,27.3401779603,103066,,WC,Mark Nielsen,R,185,NZL,23.2525667351,6-4 6-4,3,R32,87,15,5,64,36,29,17,10,4,4,1,5,72,45,31,12,10,4,6,73,575,260,129
2001-301,Auckland,Hard,32,A,20010108,4,101647,5,,Byron Black,R,175,ZIM,31.2580424367,102287,,,Albert Portas,R,188,ESP,27.1485284052,2-6 6-2 6-4,3,R32,81,1,1,72,52,34,11,13,2,5,15,0,69,35,31,11,13,3,7,35,965,49,760
2001-301,Auckland,Hard,32,A,20010108,5,102998,3,,Jan Michael Gambill,R,190,USA,23.6002737851,103454,,,Nicolas Massu,R,183,CHI,21.2484599589,7-6(4) 6-4,3,R32,103,15,5,67,33,27,14,11,1,4,8,6,81,40,27,15,11,5,9,33,1030,67,601
2001-301,Auckland,Hard,32,A,20010108,6,103714,,,Andreas Vinciguerra,L,180,SWE,19.8850102669,103248,,,Harel Levy,R,185,ISR,22.4284736482,6-3 6-4,3,R32,68,3,2,57,37,31,12,10,0,0,3,1,66,42,30,9,9,5,7,50,760,59,677
2001-301,Auckland,Hard,32,A,20010108,7,101532,,,Francisco Clavet,L,183,ESP,32.2080766598,103428,,,Juan Ignacio Chela,R,190,ARG,21.3607118412,6-3 4-6 6-3,3,R32,99,1,1,87,53,36,23,14,1,2,2,3,82,41,30,24,14,4,7,47,795,65,632
2001-301,Auckland,Hard,32,A,20010108,8,103188,,Q,Michael Russell,R,173,USA,22.6913073238,102950,8,,Fernando Vicente,R,180,ESP,23.8384668036,6-2 6-2,3,R32,58,5,1,40,34,28,4,8,0,0,3,1,50,28,19,6,8,1,5,154,250,42,860
2001-301,Auckland,Hard,32,A,20010108,9,103324,,,Arnaud Di Pasquale,R,185,FRA,21.9082819986,102701,6,,Marcelo Rios,L,175,CHI,25.0376454483,3-6 6-1 7-6(2),3,R32,108,5,10,87,52,34,12,14,3,10,2,6,90,56,30,12,14,3,11,61,670,23,1160
2001-301,Auckland,Hard,32,A,20010108,10,102785,,Q,Glenn Weiner,R,188,USA,24.7008898015,103694,,,Olivier Rochus,R,168,BEL,19.9726214921,4-6 6-3 6-3,3,R32,95,18,5,82,53,44,13,14,1,2,1,3,83,44,32,23,14,7,10,277,118,71,582
2001-301,Auckland,Hard,32,A,20010108,11,102607,,,Juan Balcells,R,190,ESP,25.5550992471,103420,,,Michal Tabara,R,175,CZE,21.4127310062,6-4 6-4,3,R32,75,4,1,56,42,30,9,10,1,2,4,5,87,48,26,23,10,9,12,74,557,70,584
2001-301,Auckland,Hard,32,A,20010108,12,102446,,,Andrei Medvedev,R,193,UKR,26.3572895277,103292,4,,Gaston Gaudio,R,175,ARG,22.083504449,6-3 6-3,3,R32,67,2,2,57,37,25,13,9,6,7,4,0,58,36,24,8,9,3,7,58,680,34,995
2001-301,Auckland,Hard,32,A,20010108,13,102563,7,,Thomas Johansson,R,180,SWE,25.7960301164,102369,,,Julien Boutter,R,190,FRA,26.7624914442,6-4 6-4,3,R32,88,4,7,68,31,24,17,10,8,10,3,7,73,30,20,19,10,6,10,36,955,68,594
2001-301,Auckland,Hard,32,A,20010108,14,101997,,Q,Marzio Martelli,R,180,ITA,29.0704996578,102106,,,Davide Sanguinetti,R,188,ITA,28.372347707,6-4 7-6(1),3,R32,88,5,0,68,47,32,13,11,4,7,5,5,72,31,22,17,11,4,8,281,114,72,581
2001-301,Auckland,Hard,32,A,20010108,15,103151,,,Mariano Zabaleta,R,183,ARG,22.8610540726,102456,,WC,Felix Mantilla,R,180,ESP,26.2943189596,7-5 7-5,3,R32,113,13,2,77,37,30,21,12,3,5,0,4,78,39,27,17,12,4,8,62,645,100,410
2001-301,Auckland,Hard,32,A,20010108,16,103103,2,,Dominik Hrbaty,R,183,SVK,23.0116358658,102247,,Q,Andrea Gaudenzi,R,183,ITA,27.4442162902,7-5 6-3,3,R32,75,5,5,64,38,29,14,11,2,3,3,4,65,22,15,23,10,8,11,17,1395,102,404
2001-301,Auckland,Hard,32,A,20010108,17,102905,,,Stefan Koubek,L,175,AUT,24.0164271047,102231,,,Alex Calatrava,R,190,ESP,27.5701574264,6-3 7-6(5),3,R16,,,,,,,,,,,,,,,,,,,,52,755,53,751
2001-301,Auckland,Hard,32,A,20010108,18,102257,,WC,Greg Rusedski,L,193,GBR,27.3401779603,101647,5,,Byron Black,R,175,ZIM,31.2580424367,6-1 7-6(3),3,R16,77,6,4,65,30,25,19,10,5,7,1,1,60,36,24,8,9,3,7,73,575,35,965
2001-301,Auckland,Hard,32,A,20010108,19,102998,3,,Jan Michael Gambill,R,190,USA,23.6002737851,103714,,,Andreas Vinciguerra,L,180,SWE,19.8850102669,6-4 6-4,3,R16,79,10,3,59,29,26,14,10,2,3,7,4,64,28,19,19,10,5,8,33,1030,50,760
2001-301,Auckland,Hard,32,A,20010108,20,101532,,,Francisco Clavet,L,183,ESP,32.2080766598,103188,,Q,Michael Russell,R,173,USA,22.6913073238,3-6 6-1 7-6(5),3,R16,146,1,2,92,49,34,20,14,5,10,0,1,103,78,46,9,14,10,16,47,795,154,250
2001-301,Auckland,Hard,32,A,20010108,21,102785,,Q,Glenn Weiner,R,188,USA,24.7008898015,103324,,,Arnaud Di Pasquale,R,185,FRA,21.9082819986,6-2 3-6 6-1,3,R16,103,7,3,65,34,24,23,12,0,1,2,1,94,56,34,18,12,6,10,277,118,61,670
2001-301,Auckland,Hard,32,A,20010108,22,102607,,,Juan Balcells,R,190,ESP,25.5550992471,102446,,,Andrei Medvedev,R,193,UKR,26.3572895277,6-2 6-4,3,R16,52,5,1,43,33,28,8,9,0,0,3,7,53,32,24,9,9,3,6,74,557,58,680
2001-301,Auckland,Hard,32,A,20010108,23,102563,7,,Thomas Johansson,R,180,SWE,25.7960301164,101997,,Q,Marzio Martelli,R,180,ITA,29.0704996578,6-4 6-3,3,R16,68,5,2,47,19,17,19,9,0,0,3,0,56,33,20,12,10,3,6,36,955,281,114
2001-301,Auckland,Hard,32,A,20010108,24,103103,2,,Dominik Hrbaty,R,183,SVK,23.0116358658,103151,,,Mariano Zabaleta,R,183,ARG,22.8610540726,4-6 6-3 6-3,3,R16,128,6,9,105,46,37,33,15,8,9,8,8,96,34,29,32,14,10,12,17,1395,62,645
2001-301,Auckland,Hard,32,A,20010108,25,102257,,WC,Greg Rusedski,L,193,GBR,27.3401779603,102905,,,Stefan Koubek,L,175,AUT,24.0164271047,6-2 5-7 7-5,3,QF,115,5,3,97,57,40,25,16,3,6,0,9,100,55,36,23,16,5,10,73,575,52,755
2001-301,Auckland,Hard,32,A,20010108,26,101532,,,Francisco Clavet,L,183,ESP,32.2080766598,102998,3,,Jan Michael Gambill,R,190,USA,23.6002737851,6-4 6-4,3,QF,75,2,1,58,43,33,9,10,2,2,8,2,56,31,25,13,10,2,4,47,795,33,1030
2001-301,Auckland,Hard,32,A,20010108,27,102607,,,Juan Balcells,R,190,ESP,25.5550992471,102785,,Q,Glenn Weiner,R,188,USA,24.7008898015,6-3 6-4,3,QF,66,8,0,48,33,29,11,10,0,0,6,1,64,45,30,10,9,5,7,74,557,277,118
2001-301,Auckland,Hard,32,A,20010108,28,103103,2,,Dominik Hrbaty,R,183,SVK,23.0116358658,102563,7,,Thomas Johansson,R,180,SWE,25.7960301164,6-7(4) 6-3 6-2,3,QF,114,7,5,85,53,42,18,14,3,4,6,5,109,60,44,19,15,5,10,17,1395,36,955
2001-301,Auckland,Hard,32,A,20010108,29,101532,,,Francisco Clavet,L,183,ESP,32.2080766598,102257,,WC,Greg Rusedski,L,193,GBR,27.3401779603,6-3 6-2,3,SF,64,1,2,58,31,22,19,9,1,1,3,3,56,29,21,10,8,4,7,47,795,73,575
2001-301,Auckland,Hard,32,A,20010108,30,103103,2,,Dominik Hrbaty,R,183,SVK,23.0116358658,102607,,,Juan Balcells,R,190,ESP,25.5550992471,7-6(2) 6-3,3,SF,81,12,7,80,44,31,17,10,8,11,5,4,81,47,31,11,11,5,10,17,1395,74,557
2001-301,Auckland,Hard,32,A,20010108,31,103103,2,,Dominik Hrbaty,R,183,SVK,23.0116358658,101532,,,Francisco Clavet,L,183,ESP,32.2080766598,6-4 2-6 6-3,3,F,120,4,10,93,53,40,15,14,6,10,3,1,96,63,32,19,13,7,13,17,1395,47,795
2001-306,St. Poelten,Clay,32,A,20010521,1,103344,,,Ivan Ljubicic,R,193,CRO,22.173853525,103103,1,,Dominik Hrbaty,R,183,SVK,23.3757700205,6-1 6-1,3,R32,51,4,0,35,19,17,11,7,0,0,2,5,48,23,12,8,7,5,10,74,588,22,1295
2001-306,St. Poelten,Clay,32,A,20010521,2,103296,,LL,Ivaylo Traykov,R,188,BUL,22.4257357974,102466,,Q,Jan Kroslak,R,188,SVK,26.5927446954,7-6(5) 7-5,3,R32,90,5,2,72,43,33,21,12,3,4,8,3,86,64,44,14,12,4,6,255,134,253,135
2001-306,St. Poelten,Clay,32,A,20010521,3,103084,,Q,Guillermo Canas,R,185,ARG,23.485284052,103184,,Q,Bob Bryan,L,193,USA,23.06091718,6-3 6-2,3,R32,65,2,2,52,33,25,10,8,3,4,2,2,57,39,19,9,9,2,7,85,486,135,300
2001-306,St. Poelten,Clay,32,A,20010521,4,103420,7,,Michal Tabara,R,175,CZE,21.7768651608,103176,,,David Sanchez,R,183,ESP,23.0855578371,6-2 6-3,3,R32,71,3,1,54,32,20,13,9,2,5,3,2,60,29,13,13,8,6,12,59,690,86,482
2001-306,St. Poelten,Clay,32,A,20010521,5,103181,,,Jiri Vanek,R,185,CZE,23.0746064339,102287,4,,Albert Portas,R,188,ESP,27.5126625599,6-4 6-1,3,R32,56,4,2,49,26,20,16,9,1,2,4,4,56,20,18,10,8,5,9,102,412,20,1350
2001-306,St. Poelten,Clay,32,A,20010521,6,103182,,WC,Markus Hipfl,R,178,AUT,23.0691307324,103305,,,Daniel Elsner,R,183,GER,22.3764544832,6-3 6-4,3,R32,78,2,1,58,32,24,13,9,4,6,1,8,66,30,20,12,10,1,6,93,439,108,379
2001-306,St. Poelten,Clay,32,A,20010521,7,103598,,,Xavier Malisse,R,185,BEL,20.8377823409,102381,,WC,Werner Eschauer,R,188,AUT,27.0691307324,7-6(4) 6-0,3,R32,87,5,3,64,32,26,16,9,3,5,4,3,61,30,18,13,9,3,8,67,621,159,242
2001-306,St. Poelten,Clay,32,A,20010521,8,102223,,,Karim Alami,R,185,MAR,27.9917864476,102776,6,,Andrew Ilie,R,180,AUS,25.0896646133,6-7(4) 7-6(5) 7-6(3),3,R32,159,8,3,128,77,55,29,18,4,7,5,8,124,62,42,35,18,6,9,109,375,51,765
2001-306,St. Poelten,Clay,32,A,20010521,9,102231,5,,Alex Calatrava,R,190,ESP,27.9342915811,102703,,,Hyung Taik Lee,R,180,KOR,25.3798767967,6-3 6-4,3,R32,74,2,2,68,40,30,17,10,3,3,4,2,58,29,17,19,9,3,5,47,813,63,648
2001-306,St. Poelten,Clay,32,A,20010521,10,101733,,,Jan Siemerink,L,183,NED,31.1019849418,103204,,Q,Hugo Armando,R,183,USA,22.984257358,7-6(3) 6-3,3,R32,86,13,2,63,34,27,18,11,2,3,1,4,66,43,25,14,10,4,6,91,456,170,234
2001-306,St. Poelten,Clay,32,A,20010521,11,103454,,,Nicolas Massu,R,183,CHI,21.6125941136,103694,,,Olivier Rochus,R,168,BEL,20.3367556468,0-6 6-4 6-4,3,R32,147,7,4,116,67,38,20,13,14,21,0,2,87,64,35,10,13,7,13,79,531,69,609
2001-306,St. Poelten,Clay,32,A,20010521,12,102247,,WC,Andrea Gaudenzi,R,183,ITA,27.8083504449,102701,3,,Marcelo Rios,L,175,CHI,25.401779603,5-7 6-1 6-4,3,R32,103,12,4,87,49,36,24,15,4,6,8,6,98,62,41,16,14,7,11,120,333,40,900
2001-306,St. Poelten,Clay,32,A,20010521,13,101320,8,,Magnus Gustafsson,R,185,SWE,34.379192334,102911,,,Andrei Stoliarov,R,178,RUS,24.3613963039,7-6(1) 6-3,3,R32,97,2,3,64,43,25,10,10,5,10,2,2,74,42,18,12,11,4,11,62,665,97,435
2001-306,St. Poelten,Clay,32,A,20010521,14,102344,,,Karol Kucera,R,188,SVK,27.2142368241,102869,,,Galo Blanco,R,173,ESP,24.6160164271,6-3 7-6(4),3,R32,91,3,5,78,37,28,18,11,6,10,1,6,65,26,18,14,10,6,11,83,490,75,569
2001-306,St. Poelten,Clay,32,A,20010521,15,103294,,,Christophe Rochus,R,170,BEL,22.431211499,102227,,,Sargis Sargsian,R,180,ARM,27.9644079398,6-4 7-5,3,R32,81,1,1,71,44,25,17,11,4,7,1,3,63,35,22,11,11,0,5,88,477,115,361
2001-306,St. Poelten,Clay,32,A,20010521,16,102318,2,,Andrei Pavel,R,183,ROU,27.3127994524,102905,,,Stefan Koubek,L,175,AUT,24.3805612594,6-3 6-3,3,R32,59,4,0,50,36,27,6,9,0,2,3,2,54,28,20,7,9,2,7,31,1015,78,543
2001-306,St. Poelten,Clay,32,A,20010521,17,103344,,,Ivan Ljubicic,R,193,CRO,22.173853525,103296,,LL,Ivaylo Traykov,R,188,BUL,22.4257357974,6-2 6-7(5) 6-4,3,R16,145,12,1,94,51,39,19,15,3,6,1,3,116,67,41,24,15,4,10,74,588,255,134
2001-306,St. Poelten,Clay,32,A,20010521,18,103420,7,,Michal Tabara,R,175,CZE,21.7768651608,103084,,Q,Guillermo Canas,R,185,ARG,23.485284052,6-4 6-4,3,R16,80,1,1,65,49,32,11,10,6,8,1,1,58,40,24,9,10,3,7,59,690,85,486
2001-306,St. Poelten,Clay,32,A,20010521,19,103182,,WC,Markus Hipfl,R,178,AUT,23.0691307324,103181,,,Jiri Vanek,R,185,CZE,23.0746064339,7-5 6-0,3,R16,73,2,3,55,36,26,9,9,4,6,3,3,47,18,11,8,9,1,7,93,439,102,412
2001-306,St. Poelten,Clay,32,A,20010521,20,103598,,,Xavier Malisse,R,185,BEL,20.8377823409,102223,,,Karim Alami,R,185,MAR,27.9917864476,6-4 6-1,3,R16,87,2,3,59,33,21,17,8,5,6,2,1,78,43,28,10,9,12,17,67,621,109,375
2001-306,St. Poelten,Clay,32,A,20010521,21,101733,,,Jan Siemerink,L,183,NED,31.1019849418,102231,5,,Alex Calatrava,R,190,ESP,27.9342915811,7-5 3-6 6-2,3,R16,110,6,5,83,48,39,19,15,4,6,3,4,85,53,37,17,14,5,8,91,456,47,813
2001-306,St. Poelten,Clay,32,A,20010521,22,102247,,WC,Andrea Gaudenzi,R,183,ITA,27.8083504449,103454,,,Nicolas Massu,R,183,CHI,21.6125941136,7-6(5) 6-2,3,R16,101,6,2,65,40,27,15,10,1,3,4,1,65,35,24,13,10,2,6,120,333,79,531
2001-306,St. Poelten,Clay,32,A,20010521,23,101320,8,,Magnus Gustafsson,R,185,SWE,34.379192334,102344,,,Karol Kucera,R,188,SVK,27.2142368241,7-5 7-6(3),3,R16,116,1,5,96,58,41,16,12,11,14,1,7,68,33,23,17,12,3,7,62,665,83,490
2001-306,St. Poelten,Clay,32,A,20010521,24,102318,2,,Andrei Pavel,R,183,ROU,27.3127994524,103294,,,Christophe Rochus,R,170,BEL,22.431211499,6-1 6-1,3,R16,46,5,1,40,24,21,9,7,0,0,0,5,48,27,15,3,7,6,11,31,1015,88,477
2001-306,St. Poelten,Clay,32,A,20010521,25,103420,7,,Michal Tabara,R,175,CZE,21.7768651608,103344,,,Ivan Ljubicic,R,193,CRO,22.173853525,6-4 5-7 6-4,3,QF,134,4,1,95,71,50,13,16,3,6,11,1,104,62,43,22,16,4,8,59,690,74,588
