tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2014-301,Auckland,Hard,28,A,20140106,1,105385,,Q,Donald Young,L,183,USA,24.4572210815,96,563,105643,,,Federico Delbonis,L,190,ARG,23.2553045859,54,826,7-5 6-2,3,R32,86,2,4,59,41,33,9,10,2,3,2,2,82,59,33,12,10,9,13
2014-301,Auckland,Hard,28,A,20140106,2,105053,,,Santiago Giraldo,R,188,COL,26.1108829569,68,703,103656,,,Albert Montanes,R,175,ESP,33.1115674196,59,766,6-1 7-6(3),3,R32,75,10,2,63,38,30,11,9,2,3,1,4,68,38,27,10,10,6,10
2014-301,Auckland,Hard,28,A,20140106,3,104198,,,Guillermo Garcia Lopez,R,188,ESP,30.5927446954,58,776,104898,8,,Robin Haase,R,190,NED,26.7542778919,44,977,4-6 7-5 7-6(4),3,R32,131,4,6,107,55,41,27,17,4,7,7,4,100,72,54,10,17,0,3
2014-301,Auckland,Hard,28,A,20140106,4,105449,,LL,Steve Johnson,R,188,USA,24.0355920602,160,327,104571,,WC,Marcos Baghdatis,R,183,CYP,28.5557837098,109,515,7-5 6-7(3) 6-4,3,R32,122,13,2,103,59,44,28,17,1,2,8,7,105,63,47,22,17,4,7
2014-301,Auckland,Hard,28,A,20140106,5,104229,,,Yen Hsun Lu,R,180,TPE,30.3983572895,62,730,104997,,,Igor Sijsling,R,190,NED,26.3874058864,69,697,7-5 7-6(7),3,R32,85,3,2,76,49,34,16,12,1,3,11,2,76,36,30,18,12,4,7
2014-301,Auckland,Hard,28,A,20140106,6,105614,,Q,Bradley Klahn,L,190,USA,23.3812457221,95,568,104978,9,,Daniel Brands,R,196,GER,26.4750171116,57,779,7-5 4-6 6-3,3,R32,112,12,2,103,76,56,13,16,6,7,8,4,110,83,56,12,15,13,15
2014-301,Auckland,Hard,28,A,20140106,7,104259,5,,Philipp Kohlschreiber,R,178,GER,30.2258726899,22,1525,105807,,,Pablo Carreno Busta,R,,ESP,22.4887063655,61,739,6-2 3-6 7-5,3,R32,99,9,0,74,46,34,16,14,0,2,4,5,88,56,40,14,15,3,7
2014-301,Auckland,Hard,28,A,20140106,8,104547,,,Horacio Zeballos,L,188,ARG,28.6954140999,66,710,103835,,,Filippo Volandri,R,183,ITA,32.3367556468,70,694,6-0 7-6(1),3,R32,81,5,6,71,41,30,12,9,3,5,2,2,64,41,23,7,9,4,9
2014-301,Auckland,Hard,28,A,20140106,9,105041,,Q,Lukas Lacko,R,185,SVK,26.1765913758,90,595,104907,,WC,Jose Rubin Statham,R,183,NZL,26.7022587269,288,155,6-3 6-1,3,R32,70,7,2,53,32,24,11,8,4,4,3,3,66,44,25,7,8,7,11
2014-301,Auckland,Hard,28,A,20140106,10,105332,6,,Benoit Paire,R,196,FRA,24.6652977413,28,1300,104308,,,Michal Przysiezny,R,185,POL,29.8891170431,63,730,6-4 6-2,3,R32,49,12,2,42,23,21,15,9,0,0,2,2,57,33,24,11,9,3,6
2014-301,Auckland,Hard,28,A,20140106,11,105138,,,Roberto Bautista Agut,R,,ESP,25.7303216975,73,680,104593,,Q,Daniel Gimeno Traver,R,185,ESP,28.4161533196,80,650,6-1 3-6 6-4,3,R32,96,1,1,76,54,41,12,13,2,4,1,2,87,46,30,20,13,4,8
2014-301,Auckland,Hard,28,A,20140106,12,106058,,WC,Jack Sock,R,185,USA,21.2840520192,100,545,105173,,,Adrian Mannarino,L,183,FRA,25.5222450376,71,692,6-3 6-4,3,R32,62,11,3,58,35,27,16,10,2,2,0,1,51,34,24,9,9,1,3
2014-301,Auckland,Hard,28,A,20140106,13,103970,1,,David Ferrer,R,175,ESP,31.7645448323,3,5800,105385,,Q,Donald Young,L,183,USA,24.4572210815,96,563,6-7(5) 6-3 6-1,3,R16,115,3,4,103,65,45,18,14,10,13,1,2,89,60,35,12,14,6,13
2014-301,Auckland,Hard,28,A,20140106,14,104198,,,Guillermo Garcia Lopez,R,188,ESP,30.5927446954,58,776,105053,,,Santiago Giraldo,R,188,COL,26.1108829569,68,703,6-7(7) 6-2 6-3,3,R16,143,8,4,118,76,50,19,15,15,19,5,2,94,50,29,20,14,5,12
2014-301,Auckland,Hard,28,A,20140106,15,105449,,LL,Steve Johnson,R,188,USA,24.0355920602,160,327,104731,4,,Kevin Anderson,R,203,RSA,27.6386036961,20,1685,7-5 6-4,3,R16,77,6,3,68,43,34,14,11,1,1,11,2,57,34,23,17,11,4,6
2014-301,Auckland,Hard,28,A,20140106,16,104229,,,Yen Hsun Lu,R,180,TPE,30.3983572895,62,730,105614,,Q,Bradley Klahn,L,190,USA,23.3812457221,95,568,6-7(3) 6-2 6-3,3,R16,110,1,2,98,69,51,15,15,6,7,8,1,80,51,38,15,14,2,6
2014-301,Auckland,Hard,28,A,20140106,17,104259,5,,Philipp Kohlschreiber,R,178,GER,30.2258726899,22,1525,104547,,,Horacio Zeballos,L,188,ARG,28.6954140999,66,710,6-4 6-2,3,R16,62,13,1,41,26,24,12,9,0,0,3,2,62,37,27,7,9,7,10
2014-301,Auckland,Hard,28,A,20140106,18,104545,3,,John Isner,R,206,USA,28.6981519507,14,2150,105041,,Q,Lukas Lacko,R,185,SVK,26.1765913758,90,595,7-6(1) 3-6 6-2,3,R16,111,21,2,85,63,49,11,14,2,3,5,3,102,53,36,28,15,6,8
2014-301,Auckland,Hard,28,A,20140106,19,105138,,,Roberto Bautista Agut,R,,ESP,25.7303216975,73,680,105332,6,,Benoit Paire,R,196,FRA,24.6652977413,28,1300,6-3 6-4,3,R16,66,1,0,63,50,34,10,10,2,3,9,3,54,29,21,10,9,1,4
2014-301,Auckland,Hard,28,A,20140106,20,106058,,WC,Jack Sock,R,185,USA,21.2840520192,100,545,103163,2,,Tommy Haas,R,188,GER,35.7618069815,12,2435,6-4 6-4,3,R16,73,7,5,57,30,24,15,10,1,2,3,1,57,32,23,14,10,2,5
2014-301,Auckland,Hard,28,A,20140106,21,103970,1,,David Ferrer,R,175,ESP,31.7645448323,3,5800,104198,,,Guillermo Garcia Lopez,R,188,ESP,30.5927446954,58,776,6-3 5-7 6-4,3,QF,131,1,3,102,72,48,15,16,7,10,2,0,81,44,32,19,15,0,4
2014-301,Auckland,Hard,28,A,20140106,22,104229,,,Yen Hsun Lu,R,180,TPE,30.3983572895,62,730,105449,,LL,Steve Johnson,R,188,USA,24.0355920602,160,327,6-4 6-4,3,QF,72,0,0,58,44,33,9,10,4,5,8,3,71,42,29,13,10,3,6
2014-301,Auckland,Hard,28,A,20140106,23,104545,3,,John Isner,R,206,USA,28.6981519507,14,2150,104259,5,,Philipp Kohlschreiber,R,178,GER,30.2258726899,22,1525,6-7(4) 7-6(4) 7-6(5),3,QF,145,18,2,112,93,77,14,18,3,3,8,1,140,87,61,40,18,7,7
2014-301,Auckland,Hard,28,A,20140106,24,105138,,,Roberto Bautista Agut,R,,ESP,25.7303216975,73,680,106058,,WC,Jack Sock,R,185,USA,21.2840520192,100,545,6-1 6-3,3,QF,63,1,2,55,41,31,8,8,6,6,4,2,50,30,21,5,8,4,8
