tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2014-339,Brisbane,Hard,,A,20131229,1,103813,,,Jarkko Nieminen,L,185,FIN,32.44,105902,,WC,James Duckworth,R,183,AUS,21.94,6-2 6-3,3,R32,72,5,3,71,54,36,9,9,5,5,9,7,51,29,23,6,8,2,5,39,1090,136,425
2014-339,Brisbane,Hard,,A,20131229,2,104594,,,Marinko Matosevic,R,194,AUS,28.39,103898,,,Julien Benneteau,R,185,FRA,32.02,5-7 6-4 7-6(4),3,R32,161,11,3,112,68,43,26,17,5,9,14,1,117,76,51,18,17,7,11,61,774,35,1160
2014-339,Brisbane,Hard,,A,20131229,3,105023,,,Sam Querrey,R,198,USA,26.23,104098,7,,Dmitry Tursunov,R,185,RUS,31.05,7-5 6-4,3,R32,77,18,1,58,40,36,7,11,2,3,4,0,63,40,26,12,11,6,9,46,960,29,1244
2014-339,Brisbane,Hard,,A,20131229,4,105032,,WC,Samuel Groth,R,,AUS,26.20,105992,,Q,Ryan Harrison,R,183,USA,21.65,7-6(3) 7-6(2),3,R32,95,23,2,70,51,46,10,12,1,1,5,4,86,59,43,15,12,4,4,172,307,100,549
2014-339,Brisbane,Hard,,A,20131229,5,103917,,,Nicolas Mahut,R,190,FRA,31.94,104997,,,Igor Sijsling,R,190,NED,26.37,3-6 6-4 6-4,3,R32,107,15,4,100,59,46,18,15,4,6,13,2,78,50,43,12,14,2,4,50,918,70,697
2014-339,Brisbane,Hard,,A,20131229,6,104871,8,,Jeremy Chardy,R,188,FRA,26.88,105173,,,Adrian Mannarino,L,183,FRA,25.50,7-6(4) 7-5,3,R32,109,10,2,76,50,34,15,12,4,7,4,3,88,54,31,17,12,5,9,34,1175,59,784
2014-339,Brisbane,Hard,,A,20131229,7,103852,6,,Feliciano Lopez,L,188,ESP,32.27,105062,,,Mikhail Kukushkin,R,183,KAZ,26.01,6-4 6-4,3,R32,75,13,3,55,30,24,14,10,1,3,4,2,58,28,12,19,10,2,6,28,1310,67,721
2014-339,Brisbane,Hard,,A,20131229,8,103720,,,Lleyton Hewitt,R,180,AUS,32.84,106423,,Q,Thanasi Kokkinakis,R,,AUS,17.72,6-3 7-5,3,R32,101,4,1,62,32,27,16,10,3,4,8,5,76,45,29,15,11,11,15,60,780,628,41
2014-339,Brisbane,Hard,,A,20131229,9,105657,,Q,Marius Copil,R,193,ROU,23.20,105216,,Q,Yuichi Sugita,R,173,JPN,25.28,7-6(5) 6-7(2) 7-6(7),3,R32,174,31,2,128,75,66,27,18,2,2,4,1,126,90,71,22,18,8,8,147,369,170,310
2014-339,Brisbane,Hard,,A,20131229,10,105777,5,,Grigor Dimitrov,R,188,BUL,22.62,104898,,,Robin Haase,R,190,NED,26.73,6-2 6-3,3,R32,58,6,1,43,23,21,15,9,0,0,2,1,56,39,24,8,8,5,8,23,1520,43,977
2014-339,Brisbane,Hard,,A,20131229,11,105227,,,Marin Cilic,R,198,CRO,25.25,104797,,,Denis Istomin,R,188,UZB,27.31,6-7(3) 7-6(5) 6-4,3,R32,142,14,7,111,59,51,27,17,2,2,8,2,100,56,45,29,17,2,3,37,1130,45,965
2014-339,Brisbane,Hard,,A,20131229,12,105051,,,Matthew Ebden,R,188,AUS,26.09,104864,,LL,Alex Kuznetsov,R,183,USA,26.90,6-3 6-4,3,R32,73,5,7,61,40,32,6,10,1,3,4,1,56,43,24,7,9,6,10,68,706,142,397
2014-339,Brisbane,Hard,,A,20131229,13,103819,1,,Roger Federer,R,185,SUI,32.39,103813,,,Jarkko Nieminen,L,185,FIN,32.44,6-4 6-2,3,R16,68,9,0,56,34,27,14,9,4,4,1,4,63,35,21,14,9,1,4,6,4205,39,1090
2014-339,Brisbane,Hard,,A,20131229,14,104594,,,Marinko Matosevic,R,194,AUS,28.39,105023,,,Sam Querrey,R,198,USA,26.23,5-7 7-6(3) 6-4,3,R16,139,4,3,112,64,46,26,17,9,12,19,2,101,59,45,23,17,3,6,61,774,46,960
2014-339,Brisbane,Hard,,A,20131229,15,105032,,WC,Samuel Groth,R,,AUS,26.20,105732,,LL,Pierre Hugues Herbert,R,188,FRA,22.78,4-6 7-6(3) 7-6(5),3,R16,146,18,7,113,62,49,27,17,5,8,8,6,110,68,51,22,17,3,5,172,307,151,344
2014-339,Brisbane,Hard,,A,20131229,16,104871,8,,Jeremy Chardy,R,188,FRA,26.88,103917,,,Nicolas Mahut,R,190,FRA,31.94,7-5 6-7(4) 6-3,3,R16,122,10,3,85,45,39,26,17,1,3,12,6,102,53,39,23,16,4,8,34,1175,50,918
2014-339,Brisbane,Hard,,A,20131229,17,103720,,,Lleyton Hewitt,R,180,AUS,32.84,103852,6,,Feliciano Lopez,L,188,ESP,32.27,7-5 6-3,3,R16,99,11,2,80,43,33,20,11,9,10,8,8,62,36,29,9,10,3,6,60,780,28,1310
2014-339,Brisbane,Hard,,A,20131229,18,105657,,Q,Marius Copil,R,193,ROU,23.20,104468,3,,Gilles Simon,R,183,FRA,29.00,7-5 6-3,3,R16,88,10,0,66,38,33,16,11,4,4,2,2,74,32,23,22,10,4,6,147,369,19,1790
2014-339,Brisbane,Hard,,A,20131229,19,105227,,,Marin Cilic,R,198,CRO,25.25,105777,5,,Grigor Dimitrov,R,188,BUL,22.62,7-5 7-5,3,R16,96,16,4,77,47,40,16,12,5,5,8,1,72,42,32,16,12,4,6,37,1130,23,1520
2014-339,Brisbane,Hard,,A,20131229,20,105453,2,,Kei Nishikori,R,178,JPN,24.00,105051,,,Matthew Ebden,R,188,AUS,26.09,6-2 6-4,3,R16,62,1,1,48,27,22,15,9,0,0,3,2,47,26,19,10,9,3,6,17,1915,68,706
2014-339,Brisbane,Hard,,A,20131229,21,103819,1,,Roger Federer,R,185,SUI,32.39,104594,,,Marinko Matosevic,R,194,AUS,28.39,6-1 6-1,3,QF,58,9,1,41,25,21,9,7,3,3,3,5,54,30,16,7,7,4,9,6,4205,61,774
2014-339,Brisbane,Hard,,A,20131229,22,104871,8,,Jeremy Chardy,R,188,FRA,26.88,105032,,WC,Samuel Groth,R,,AUS,26.20,7-5 6-4,3,QF,69,7,0,52,40,34,11,11,2,2,12,1,60,41,32,11,11,3,5,34,1175,172,307
2014-339,Brisbane,Hard,,A,20131229,23,103720,,,Lleyton Hewitt,R,180,AUS,32.84,105657,,Q,Marius Copil,R,193,ROU,23.20,6-4 6-2,3,QF,72,5,1,48,25,21,15,9,2,3,7,3,59,30,22,9,9,1,5,60,780,147,369
2014-339,Brisbane,Hard,,A,20131229,24,105453,2,,Kei Nishikori,R,178,JPN,24.00,105227,,,Marin Cilic,R,198,CRO,25.25,6-4 5-7 6-2,3,QF,157,6,2,105,58,45,26,15,14,15,14,11,119,52,38,33,15,12,15,17,1915,37,1130
2014-339,Brisbane,Hard,,A,20131229,25,103819,1,,Roger Federer,R,185,SUI,32.39,104871,8,,Jeremy Chardy,R,188,FRA,26.88,6-3 6-7(3) 6-3,3,SF,116,20,3,95,56,46,23,16,1,1,4,7,86,43,36,21,14,1,3,6,4205,34,1175
2014-339,Brisbane,Hard,,A,20131229,26,103720,,,Lleyton Hewitt,R,180,AUS,32.84,105453,2,,Kei Nishikori,R,178,JPN,24.00,5-7 6-4 6-3,3,SF,150,7,3,102,45,40,30,16,6,7,12,6,101,61,44,20,15,10,12,60,780,17,1915
2014-339,Brisbane,Hard,,A,20131229,27,103720,,,Lleyton Hewitt,R,180,AUS,32.84,103819,1,,Roger Federer,R,185,SUI,32.39,6-1 4-6 6-3,3,F,127,4,4,101,50,40,26,13,9,10,13,0,86,55,38,14,13,7,11,60,780,6,4205
2014-891,Chennai,Hard,,A,20131230,1,103794,,,Benjamin Becker,R,178,GER,32.54,104714,,,Julian Reister,R,188,GER,27.75,6-4 2-1 RET,3,R32,50,4,2,29,17,13,8,6,0,1,1,2,46,28,15,9,7,2,5,79,637,86,612
2014-891,Chennai,Hard,,A,20131230,2,105379,,,Aljaz Bedene,R,181,SLO,24.45,105967,,Q,Henri Laaksonen,R,,SUI,21.75,6-3 5-7 7-6(0),3,R32,149,8,3,111,66,50,27,17,6,7,4,8,107,60,48,20,16,5,6,95,573,244,191
2014-891,Chennai,Hard,,A,20131230,3,104628,,Q,Alexander Kudryavtsev,R,183,RUS,28.18,105138,8,,Roberto Bautista Agut,R,183,ESP,25.71,6-4 3-6 6-3,3,R32,107,0,1,84,49,35,21,14,2,4,1,1,86,53,41,13,14,4,7,270,170,58,810
2014-891,Chennai,Hard,,A,20131230,4,106026,,WC,Yuki Bhambri,R,183,IND,21.49,105807,,,Pablo Carreno Busta,R,188,ESP,22.47,6-4 6-3,3,R32,76,2,2,46,23,18,15,9,0,1,3,3,61,35,25,10,10,0,4,195,258,64,739
2014-891,Chennai,Hard,,A,20131230,5,104229,,,Yen Hsun Lu,R,180,TPE,30.38,105065,,,Tim Smyczek,R,175,USA,26.00,6-4 6-2,3,R32,73,0,3,51,31,22,8,9,2,5,0,1,61,44,23,4,9,4,10,65,730,89,600
2014-891,Chennai,Hard,,A,20131230,6,105577,5,,Vasek Pospisil,R,193,CAN,23.52,106378,,WC,Kyle Edmund,R,,GBR,18.98,6-3 7-5,3,R32,81,4,3,63,40,32,15,11,4,4,3,2,61,47,34,4,10,4,6,32,1219,376,110
2014-891,Chennai,Hard,,A,20131230,7,104719,6,,Marcel Granollers,R,190,ESP,27.72,105430,,Q,Radu Albot,R,,MDA,24.13,6-4 3-6 6-0,3,R32,140,1,2,69,36,28,17,12,0,2,2,4,105,56,30,26,13,14,19,38,1110,169,311
2014-891,Chennai,Hard,,A,20131230,8,106368,,Q,Ramkumar Ramanathan,R,,IND,19.14,104500,,,Somdev Devvarman,R,180,IND,28.88,4-6 6-3 6-4,3,R32,142,6,8,114,59,41,26,15,5,8,2,1,88,57,37,15,14,5,9,526,65,90,599
2014-891,Chennai,Hard,,A,20131230,9,104198,,,Guillermo Garcia Lopez,R,188,ESP,30.57,104873,,,Aleksandr Nedovyesov,R,,KAZ,26.87,7-5 6-0,3,R32,71,3,2,47,26,20,16,9,0,0,1,5,59,32,19,12,9,5,9,62,768,93,586
