tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2019-M-ITF-HKG-01A-2019,M25 Hong Kong,Hard,32,S,20181231,001,126135,,Q,Jumpei Yamasaki,R,,JPN,21.4976043806,618,3,200436,,,Zsombor Piros,U,,HUN,19.2169746749,338,67,7-6(4) 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2019-M-ITF-HKG-01A-2019,M25 Hong Kong,Hard,32,S,20181231,002,200553,,,Alen Avidzba,R,,RUS,18.8501026694,415,27,127187,,,Chien Hsun Lo,U,,TPE,20.1259411362,403,30,6-0 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2019-M-ITF-HKG-01A-2019,M25 Hong Kong,Hard,32,S,20181231,003,145001,,,Evan Furness,R,,FRA,20.3832991102,466,16,109686,,,Riccardo Bonadio,U,,ITA,25.4674880219,503,11,1-6 7-6(8) 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2019-M-ITF-HKG-01A-2019,M25 Hong Kong,Hard,32,S,20181231,004,106187,5,,Denis Yevseyev,U,,KAZ,25.6098562628,359,57,105515,,,Jordi Samper Montana,U,,ESP,28.7392197125,413,28,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2019-M-ITF-HKG-01A-2019,M25 Hong Kong,Hard,32,S,20181231,005,134120,,Q,Kuan Yi Lee,U,,TPE,22.3080082136,,,144696,,,Zihao Xia,U,,CHN,21.916495551,354,58,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2019-M-ITF-HKG-01A-2019,M25 Hong Kong,Hard,32,S,20181231,006,106397,,,Wishaya Trongcharoenchaikul,R,,THA,23.7316906229,419,26,138845,,,Anthony Jackie Tang,U,,HKG,20.0958247775,,,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2019-M-ITF-HKG-01A-2019,M25 Hong Kong,Hard,32,S,20181231,007,122495,,,Shintaro Imai,U,,JPN,25.3141683778,657,1,122606,,,Yecong He,U,,CHN,24.8733744011,526,9,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2019-M-ITF-HKG-01A-2019,M25 Hong Kong,Hard,32,S,20181231,008,105514,7,,Jeremy Jahn,R,180,GER,28.7392197125,379,43,106321,,,Xin Gao,U,,CHN,24.6379192334,557,7,6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2019-M-ITF-HKG-01A-2019,M25 Hong Kong,Hard,32,S,20181231,009,111447,,Q,Takashi Saito,R,,JPN,23.8521560575,597,3,133975,,,Benjamin Hassan,U,,GER,23.9041752225,375,47,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2019-M-ITF-HKG-01A-2019,M25 Hong Kong,Hard,32,S,20181231,010,109699,,,Julian Lenz,R,,GER,25.8672142368,395,35,106388,,WC,Pak Long Yeung,U,,HKG,23.8767967146,,,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
