tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2001-M-SA-GUA-01A-2001a,Central America 1,Hard,,S,20010108,1,103972,,,Renaud Thys,U,,BEL,18.77,104014,,,Lee Childs,R,,GBR,18.58,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,,968,5,375,70
2001-M-SA-GUA-01A-2001a,Central America 1,Hard,,S,20010108,2,103754,,,Mark Hilton,L,170,GBR,19.72,102773,,,Kacper Cecek,R,,GER,24.74,6-7(3) 6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,329,89,811,10
2001-M-SA-GUA-01A-2001a,Central America 1,Hard,,S,20010108,3,103945,,,Simon Dickson,R,,GBR,18.87,103753,,,Boris Bachert,R,,GER,19.73,6-4 3-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,,495,41,932,6
2001-M-SA-GUA-01A-2001a,Central America 1,Hard,,S,20010108,4,103806,,,Catalin Ionut Gard,R,,ROU,19.50,118522,,,Rudolf Kostler,U,,AUT,18.99,6-4 7-6(1),3,R32,,,,,,,,,,,,,,,,,,,,,,1331,1
2001-M-SA-GUA-01A-2001a,Central America 1,Hard,,S,20010108,5,103422,,,Sebastian Fitz,R,,GER,21.41,101840,,,Jacobo Chavez,R,,GUA,29.99,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,549,33,1076,3
2001-M-SA-GUA-01A-2001a,Central America 1,Hard,,S,20010108,6,102682,,,Jonathan Beardsley,R,,USA,25.17,103274,,,Eduardo Frick,R,,BRA,22.25,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,690,18,533,35
2001-M-SA-GUA-01A-2001a,Central America 1,Hard,,S,20010108,7,103313,,,Iain Bates,R,,GBR,21.96,103755,,,Francois Vatin,R,,FRA,19.72,6-7(2) 6-1 7-6(4),3,R32,,,,,,,,,,,,,,,,,,,,998,5,722,16
2001-M-SA-GUA-01A-2001a,Central America 1,Hard,,S,20010108,8,102985,,,Gustavo Marcaccio,R,,ARG,23.69,103460,,,Konstantin Don Gruber,R,183,AUT,21.20,3-6 6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,538,35,819,10
2001-M-SA-GUA-01A-2001a,Central America 1,Hard,,S,20010108,9,103972,,,Renaud Thys,U,,BEL,18.77,103781,1,,Jurgen Melzer,L,183,AUT,19.63,6-4 7-6(2),3,R16,,,,,,,,,,,,,,,,,,,,968,5,359,76
2001-M-SA-GUA-01A-2001a,Central America 1,Hard,,S,20010108,10,103754,,,Mark Hilton,L,170,GBR,19.72,103545,8,,Philipp Mullner,R,,AUT,20.74,4-1 RET,3,R16,,,,,,,,,,,,,,,,,,,,329,89,642,22
