tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2008-338,Sydney,Hard,32,A,20080107,001,104755,1,,Richard Gasquet,R,185,FRA,21.5550992471,8,1930,104214,,,Igor Andreev,R,185,RUS,24.4845995893,34,890,6-3 7-6(6),3,R32,94,7,5,70,40,35,15,11,3,4,2,4,66,41,29,11,10,1,3
2008-338,Sydney,Hard,32,A,20080107,002,104098,,,Dmitry Tursunov,R,185,RUS,25.0704996578,35,853,104527,,,Stanislas Wawrinka,R,183,SUI,22.7789185489,28,995,6-3 6-3,3,R32,67,3,2,51,27,22,13,9,3,4,2,1,54,37,23,7,9,2,6
2008-338,Sydney,Hard,32,A,20080107,003,103206,,,Sebastien Grosjean,R,175,FRA,29.6098562628,51,621,103429,,WC,Peter Luczak,R,183,AUS,28.3531827515,90,464,6-4 4-6 6-0,3,R32,126,9,2,78,40,32,20,13,4,6,5,1,98,63,34,20,13,6,11
2008-338,Sydney,Hard,32,A,20080107,004,104269,8,,Fernando Verdasco,L,188,ESP,24.1451060917,27,1050,103852,,,Feliciano Lopez,L,188,ESP,26.2970568104,36,840,6-3 4-6 6-2,3,R32,124,3,4,83,64,44,8,14,5,8,11,5,99,54,35,19,13,8,13
2008-338,Sydney,Hard,32,A,20080107,005,102148,,,Fabrice Santoro,R,178,FRA,35.0773442847,37,792,103484,3,,James Blake,R,185,USA,28.0273785079,13,1710,7-6(4) 6-2,3,R32,80,5,2,68,27,18,23,10,5,8,3,1,57,31,21,10,10,2,7
2008-338,Sydney,Hard,32,A,20080107,006,104327,,Q,Steve Darcis,R,178,BEL,23.819301848,88,474,102512,,,Joseph Sirianni,R,175,AUS,32.9719370294,146,293,6-1 7-6(4),3,R32,69,6,2,57,38,32,11,10,0,1,1,2,56,26,21,14,9,4,7
2008-338,Sydney,Hard,32,A,20080107,007,104371,,Q,Ivo Minar,R,183,CZE,23.6303901437,102,425,103553,,Q,Alun Jones,R,180,AUS,27.6988364134,140,308,6-2 7-5,3,R32,73,5,2,71,50,34,10,10,6,8,2,0,54,34,18,9,10,0,5
2008-338,Sydney,Hard,32,A,20080107,008,105095,,LL,Evgeny Korolev,R,185,KAZ,19.8959616701,82,492,103908,7,,Paul Henri Mathieu,R,185,FRA,25.9849418207,25,1320,6-1 RET,3,R32,34,3,2,27,21,16,0,4,2,3,2,1,20,10,6,1,3,3,6
2008-338,Sydney,Hard,32,A,20080107,009,103720,6,,Lleyton Hewitt,R,180,AUS,26.8665297741,21,1385,103917,,,Nicolas Mahut,R,190,FRA,25.9603011636,44,683,6-3 6-4,3,R32,88,5,4,48,26,20,12,9,1,3,4,13,82,41,28,14,10,8,13
2008-338,Sydney,Hard,32,A,20080107,010,104589,,WC,Chris Guccione,L,201,AUS,22.4394250513,125,357,103252,,Q,Alberto Martin,R,175,ESP,29.3826146475,138,313,7-6(6) 6-4,3,R32,77,18,3,62,43,39,12,11,1,1,2,3,64,35,27,19,11,0,1
