tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2016-5047,Bangkok CH,Hard,32,C,20160104,300,104022,3,,Mikhail Youzhny,R,183,RUS,33.5277207392,127,465,104424,5,,Go Soeda,R,178,JPN,31.3292265572,132,447,6-3 6-4,3,F,83,3,4,68,36,24,18,10,4,6,1,1,50,35,20,8,9,3,7
2016-5047,Bangkok CH,Hard,32,C,20160104,299,104022,3,,Mikhail Youzhny,R,183,RUS,33.5277207392,127,465,103843,,PR,Marco Chiudinelli,R,185,SUI,34.3162217659,282,181,6-3 7-6(9),3,SF,105,4,2,70,36,30,19,11,1,3,5,1,72,40,28,13,10,2,5
2016-5047,Bangkok CH,Hard,32,C,20160104,298,104424,5,,Go Soeda,R,178,JPN,31.3292265572,132,447,104505,7,,Konstantin Kravchuk,R,190,RUS,30.8610540726,139,429,7-6(4) 6-1,3,SF,71,5,2,60,37,29,14,10,4,6,4,5,56,28,17,14,9,0,4
2016-5047,Bangkok CH,Hard,32,C,20160104,297,103843,,PR,Marco Chiudinelli,R,185,SUI,34.3162217659,282,181,106034,,,Yasutaka Uchiyama,R,,JPN,23.4140999316,251,206,7-5 6-3,3,QF,80,2,1,59,41,35,11,11,2,2,4,2,55,25,20,17,10,2,4
2016-5047,Bangkok CH,Hard,32,C,20160104,296,104022,3,,Mikhail Youzhny,R,183,RUS,33.5277207392,127,465,106078,,,Egor Gerasimov,R,,BLR,23.1457905544,188,264,6-4 5-7 6-3,3,QF,124,3,4,81,53,37,13,15,0,4,7,3,106,59,35,23,16,11,17
2016-5047,Bangkok CH,Hard,32,C,20160104,295,104424,5,,Go Soeda,R,178,JPN,31.3292265572,132,447,106293,4,,Kimmer Coppejans,R,,BEL,21.9055441478,130,452,6-3 2-6 6-1,3,QF,123,3,5,83,49,33,16,12,7,11,3,5,92,61,35,12,12,4,10
2016-5047,Bangkok CH,Hard,32,C,20160104,294,104505,7,,Konstantin Kravchuk,R,190,RUS,30.8610540726,139,429,105216,2,,Yuichi Sugita,R,,JPN,27.2936344969,126,472,4-6 6-2 6-4,3,QF,123,10,0,81,58,43,12,14,0,2,3,2,105,66,40,20,14,11,15
2016-5047,Bangkok CH,Hard,32,C,20160104,293,103843,,PR,Marco Chiudinelli,R,185,SUI,34.3162217659,282,181,105406,,,Roberto Marcora,R,,ITA,26.3463381246,246,210,6-1 4-6 6-2,3,R16,132,2,2,85,39,30,25,13,4,6,8,7,90,51,32,16,12,10,15
2016-5047,Bangkok CH,Hard,32,C,20160104,292,106034,,,Yasutaka Uchiyama,R,,JPN,23.4140999316,251,206,103565,,,Stephane Robert,R,185,FRA,35.6331279945,208,239,6-2 7-6(6),3,R16,88,11,0,62,40,29,16,10,3,4,4,7,86,38,28,21,10,7,10
2016-5047,Bangkok CH,Hard,32,C,20160104,291,104022,3,,Mikhail Youzhny,R,183,RUS,33.5277207392,127,465,104804,,,Amir Weintraub,R,188,ISR,29.3004791239,212,238,7-6(3) 6-3,3,R16,78,9,2,62,38,32,15,11,1,2,2,0,65,47,28,12,10,2,4
2016-5047,Bangkok CH,Hard,32,C,20160104,290,106078,,,Egor Gerasimov,R,,BLR,23.1457905544,188,264,122078,,Q,Dmitry Popko,R,,KAZ,19.1950718686,257,204,6-4 6-3,3,R16,74,6,2,44,28,24,12,9,0,0,0,1,68,33,19,20,10,4,7
2016-5047,Bangkok CH,Hard,32,C,20160104,289,104424,5,,Go Soeda,R,178,JPN,31.3292265572,132,447,105015,,,Franco Skugor,R,193,CRO,28.2902121834,182,276,6-2 6-4,3,R16,87,0,3,55,35,25,12,9,2,3,2,3,72,43,28,10,9,3,7
2016-5047,Bangkok CH,Hard,32,C,20160104,288,106293,4,,Kimmer Coppejans,R,,BEL,21.9055441478,130,452,104963,,,Yannick Mertens,R,,BEL,28.5284052019,200,249,7-6(5) 7-5,3,R16,100,7,4,85,55,36,14,12,3,7,4,4,77,42,31,11,12,8,13
2016-5047,Bangkok CH,Hard,32,C,20160104,287,104505,7,,Konstantin Kravchuk,R,190,RUS,30.8610540726,139,429,105738,,,Tsung Hua Yang,R,,TPE,24.7693360712,204,245,W/O,3,R16,0,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,286,105216,2,,Yuichi Sugita,R,,JPN,27.2936344969,126,472,105359,,Q,Jason Jung,R,,TPE,26.5544147844,256,204,6-3 6-4,3,R16,76,5,0,54,31,25,14,10,1,2,5,3,62,40,28,8,9,5,8
2016-5047,Bangkok CH,Hard,32,C,20160104,285,103843,,PR,Marco Chiudinelli,R,185,SUI,34.3162217659,282,181,105147,1,,Tatsuma Ito,R,180,JPN,27.6303901437,119,487,6-2 6-3,3,R32,69,4,2,42,23,21,11,8,0,0,4,4,55,30,19,9,9,4,8
2016-5047,Bangkok CH,Hard,32,C,20160104,284,105406,,,Roberto Marcora,R,,ITA,26.3463381246,246,210,105339,,,Yan Bai,R,,CHN,26.6228610541,220,236,3-2 RET,3,R32,26,4,1,25,16,11,3,3,3,4,1,5,17,6,5,3,2,1,2
2016-5047,Bangkok CH,Hard,32,C,20160104,283,106034,,,Yasutaka Uchiyama,R,,JPN,23.4140999316,251,206,127143,,WC,Jirat Navasirisomboon,R,,THA,19.1293634497,915,17,6-4 6-4,3,R32,68,10,3,51,35,30,8,10,0,1,1,4,60,38,23,12,10,0,3
2016-5047,Bangkok CH,Hard,32,C,20160104,282,103565,,,Stephane Robert,R,185,FRA,35.6331279945,208,239,104007,8,,Andre Ghem,R,193,BRA,33.6016427105,149,389,6-7(3) 7-6(4) 6-3,3,R32,125,14,9,102,48,41,29,17,3,5,6,3,105,66,46,22,16,6,9
2016-5047,Bangkok CH,Hard,32,C,20160104,281,104022,3,,Mikhail Youzhny,R,183,RUS,33.5277207392,127,465,106361,,,Adam Pavlasek,R,,CZE,21.2402464066,160,353,6-3 6-2,3,R32,82,2,4,70,43,26,18,9,10,11,7,4,59,32,20,10,8,6,10
2016-5047,Bangkok CH,Hard,32,C,20160104,280,104804,,,Amir Weintraub,R,188,ISR,29.3004791239,212,238,104251,,,Ti Chen,R,183,TPE,32.2546201232,201,248,6-4 6-3,3,R32,85,5,0,65,47,30,9,10,9,12,1,1,55,35,20,7,9,6,11
2016-5047,Bangkok CH,Hard,32,C,20160104,279,106078,,,Egor Gerasimov,R,,BLR,23.1457905544,188,264,125802,,Q,Ilya Ivashka,R,,BLR,21.8590006845,355,129,5-3 RET,3,R32,34,3,1,28,14,11,8,4,0,0,0,1,19,11,9,4,4,1,2
2016-5047,Bangkok CH,Hard,32,C,20160104,278,122078,,Q,Dmitry Popko,R,,KAZ,19.1950718686,257,204,105671,6,,Gastao Elias,R,178,POR,25.1115674196,133,441,5-7 6-3 6-2,3,R32,132,4,3,92,46,35,28,15,4,6,3,1,89,47,31,21,14,3,7
2016-5047,Bangkok CH,Hard,32,C,20160104,277,104424,5,,Go Soeda,R,178,JPN,31.3292265572,132,447,104095,,,David Guez,R,185,FRA,33.0732375086,168,306,2-6 6-4 6-1,3,R32,113,2,2,73,48,33,10,12,6,10,3,2,82,50,29,15,13,5,11
